NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial,Nr_of_mutations
6,9,6.3,1,1,a,tf2ekjffoeoptr3,None,28,1
3,5,2.646,1,1,a,tf2ekjffoeoptr3,None,29,1
3,5,1.902,1,1,a,tf2ekjffoeoptr3,None,30,1
7,10,6.647,0,1,a,tf2ekjffoeoptr3,None,31,1
5,7,6.809,1,1,a,tf2ekjffoeoptr3,None,32,1
5,8,9.649,1,1,a,tf2ekjffoeoptr3,None,33,1
4,7,7.609,1,1,a,tf2ekjffoeoptr3,None,34,1
7,8,7.061,1,1,a,tf2ekjffoeoptr3,None,35,1
6,11,5.268,1,1,a,4r8fa9xh0zzco6o,Query,1,1
7,13,9.448,1,1,a,4r8fa9xh0zzco6o,Query,2,1
2,3,1.06,1,1,a,4r8fa9xh0zzco6o,Query,3,1
3,5,1.217,1,1,a,4r8fa9xh0zzco6o,Query,4,1
1,1,0.578,1,1,a,4r8fa9xh0zzco6o,Query,5,1
7,12,5.118,0,1,a,4r8fa9xh0zzco6o,Query,6,1
4,7,2.08,1,1,a,4r8fa9xh0zzco6o,Query,7,1
5,9,3.325,0,1,a,4r8fa9xh0zzco6o,Query,8,1
2,3,0.848,1,1,a,4r8fa9xh0zzco6o,Query,9,1
1,1,0.597,1,1,a,4r8fa9xh0zzco6o,Query,10,1
1,1,0.678,1,1,a,4r8fa9xh0zzco6o,Query,11,1
3,5,1.355,0,1,a,4r8fa9xh0zzco6o,Query,12,1
6,11,6.058,1,1,a,4r8fa9xh0zzco6o,Query,13,1
7,12,7.47,1,1,a,4r8fa9xh0zzco6o,Query,14,1
4,5,2.571,1,1,a,4r8fa9xh0zzco6o,Query,15,1
5,7,4.278,1,1,a,4r8fa9xh0zzco6o,Query,16,1
4,7,2.506,1,1,a,4r8fa9xh0zzco6o,Query,17,1
4,7,2.158,1,1,a,4r8fa9xh0zzco6o,Query,18,1
3,3,1.549,0,1,a,4r8fa9xh0zzco6o,Query,19,1
2,3,0.696,1,1,a,4r8fa9xh0zzco6o,Query,20,1
1,1,0.594,1,1,a,4r8fa9xh0zzco6o,Query,21,1
2,3,0.872,1,1,a,4r8fa9xh0zzco6o,Query,22,1
5,9,4.747,1,1,a,4r8fa9xh0zzco6o,Query,23,1
3,5,3.116,1,1,a,4r8fa9xh0zzco6o,Query,24,1
2,3,1.052,1,1,a,4r8fa9xh0zzco6o,Query,25,1
1,1,4.7,1,1,a,4r8fa9xh0zzco6o,Query,26,1
5,9,3.391,0,1,a,4r8fa9xh0zzco6o,Query,27,1
7,10,1.947,0,1,a,4r8fa9xh0zzco6o,Query,28,1
5,9,1.01,1,1,a,4r8fa9xh0zzco6o,Query,29,1
6,9,1.603,0,1,a,4r8fa9xh0zzco6o,Query,30,1
6,11,1.976,1,1,a,4r8fa9xh0zzco6o,Query,31,1
6,9,1.318,1,1,a,4r8fa9xh0zzco6o,Query,32,1
7,10,1.588,1,1,a,4r8fa9xh0zzco6o,Query,33,1
3,3,0.482,0,1,a,4r8fa9xh0zzco6o,Query,34,1
4,7,0.547,1,1,a,4r8fa9xh0zzco6o,Query,35,1
6,9,5.599,0,1,bhd,4r8fa9xh0zzco6o,Sequence,1,1
6,9,5.754,0,1,bhd,4r8fa9xh0zzco6o,Sequence,2,1
6,11,6.473,1,1,bhd,4r8fa9xh0zzco6o,Sequence,3,1
7,9,9.45,0,1,bhd,4r8fa9xh0zzco6o,Sequence,4,1
3,5,1.593,1,1,bhd,4r8fa9xh0zzco6o,Sequence,5,1
4,7,2.233,1,1,bhd,4r8fa9xh0zzco6o,Sequence,6,1
7,13,8.419,1,1,bhd,4r8fa9xh0zzco6o,Sequence,7,1
5,9,4.405,1,1,bhd,4r8fa9xh0zzco6o,Sequence,8,1
3,5,2.436,1,1,bhd,4r8fa9xh0zzco6o,Sequence,9,1
4,7,2.737,1,1,bhd,4r8fa9xh0zzco6o,Sequence,10,1
3,5,4.515,1,1,bhd,4r8fa9xh0zzco6o,Sequence,11,1
3,5,1.505,1,1,bhd,4r8fa9xh0zzco6o,Sequence,12,1
1,1,0.749,1,1,bhd,4r8fa9xh0zzco6o,Sequence,13,1
5,5,3.153,0,1,bhd,4r8fa9xh0zzco6o,Sequence,14,1
1,1,0.875,1,1,bhd,4r8fa9xh0zzco6o,Sequence,15,1
6,9,4.118,0,1,bhd,4r8fa9xh0zzco6o,Sequence,16,1
3,5,1.618,1,1,bhd,4r8fa9xh0zzco6o,Sequence,17,1
1,1,0.753,1,1,bhd,4r8fa9xh0zzco6o,Sequence,18,1
2,3,1.1,1,1,bhd,4r8fa9xh0zzco6o,Sequence,19,1
4,7,1.516,1,1,bhd,4r8fa9xh0zzco6o,Sequence,20,1
5,9,3.929,1,1,bhd,4r8fa9xh0zzco6o,Sequence,21,1
7,12,5.421,1,1,bhd,4r8fa9xh0zzco6o,Sequence,22,1
5,9,3.049,1,1,bhd,4r8fa9xh0zzco6o,Sequence,23,1
6,8,5.072,1,1,bhd,4r8fa9xh0zzco6o,Sequence,24,1
7,12,5.967,1,1,bhd,4r8fa9xh0zzco6o,Sequence,25,1
1,1,0.98,1,1,bhd,4r8fa9xh0zzco6o,Sequence,26,1
4,7,2.665,1,1,bhd,4r8fa9xh0zzco6o,Sequence,27,1
1,1,0.931,1,1,bhd,4r8fa9xh0zzco6o,Sequence,28,1
2,3,1.337,1,1,bhd,4r8fa9xh0zzco6o,Sequence,29,1
2,3,1.297,1,1,bhd,4r8fa9xh0zzco6o,Sequence,30,1
7,12,7.091,1,1,bhd,4r8fa9xh0zzco6o,Sequence,31,1
2,3,0.78,1,1,bhd,4r8fa9xh0zzco6o,Sequence,32,1
5,7,2.624,0,1,bhd,4r8fa9xh0zzco6o,Sequence,33,1
4,7,2.695,1,1,bhd,4r8fa9xh0zzco6o,Sequence,34,1
2,3,0.775,1,1,bhd,4r8fa9xh0zzco6o,Sequence,35,1
6,11,7.168,1,1,a,4r8fa9xh0zzco6o,None,1,1
5,7,5.471,1,1,a,4r8fa9xh0zzco6o,None,2,1
6,11,6.421,1,1,a,4r8fa9xh0zzco6o,None,3,1
2,3,1.068,1,1,a,4r8fa9xh0zzco6o,None,4,1
6,9,7.822,0,1,a,4r8fa9xh0zzco6o,None,5,1
3,5,2.918,1,1,a,4r8fa9xh0zzco6o,None,6,1
4,7,3.469,0,1,a,4r8fa9xh0zzco6o,None,7,1
4,7,2.307,1,1,a,4r8fa9xh0zzco6o,None,8,1
2,3,0.936,1,1,a,4r8fa9xh0zzco6o,None,9,1
1,1,0.838,1,1,a,4r8fa9xh0zzco6o,None,10,1
6,9,7.193,0,1,a,4r8fa9xh0zzco6o,None,11,1
2,3,0.711,1,1,a,4r8fa9xh0zzco6o,None,12,1
7,11,8.138,1,1,a,4r8fa9xh0zzco6o,None,13,1
4,7,2.109,1,1,a,4r8fa9xh0zzco6o,None,14,1
6,11,6.694,1,1,a,4r8fa9xh0zzco6o,None,15,1
7,10,7.517,0,1,a,4r8fa9xh0zzco6o,None,16,1
7,9,7.371,0,1,a,4r8fa9xh0zzco6o,None,17,1
3,5,1.588,1,1,a,4r8fa9xh0zzco6o,None,18,1
5,7,4.727,0,1,a,4r8fa9xh0zzco6o,None,19,1
2,3,0.849,1,1,a,4r8fa9xh0zzco6o,None,20,1
7,11,6.514,1,1,a,4r8fa9xh0zzco6o,None,21,1
1,1,0.741,1,1,a,4r8fa9xh0zzco6o,None,22,1
3,5,1.341,1,1,a,4r8fa9xh0zzco6o,None,23,1
5,9,3.14,1,1,a,4r8fa9xh0zzco6o,None,24,1
4,7,2.245,1,1,a,4r8fa9xh0zzco6o,None,25,1
5,9,2.781,1,1,a,4r8fa9xh0zzco6o,None,26,1
1,1,0.752,1,1,a,4r8fa9xh0zzco6o,None,27,1
2,3,0.687,1,1,a,4r8fa9xh0zzco6o,None,28,1
4,7,2.607,1,1,a,4r8fa9xh0zzco6o,None,29,1
7,9,4.996,0,1,a,4r8fa9xh0zzco6o,None,30,1
1,1,0.632,1,1,a,4r8fa9xh0zzco6o,None,31,1
1,1,0.595,1,1,a,4r8fa9xh0zzco6o,None,32,1
3,5,1.317,1,1,a,4r8fa9xh0zzco6o,None,33,1
5,9,4.471,1,1,a,4r8fa9xh0zzco6o,None,34,1
3,5,1.48,1,1,a,4r8fa9xh0zzco6o,None,35,1
3,5,2.906,1,1,a,a9tn75magy8nffy,Query,1,1
2,3,1.171,1,1,a,a9tn75magy8nffy,Query,2,1
3,5,1.256,1,1,a,a9tn75magy8nffy,Query,3,1
7,11,10.725,1,1,a,a9tn75magy8nffy,Query,4,1
6,10,6.569,1,1,a,a9tn75magy8nffy,Query,5,1
4,3,2.545,0,1,a,a9tn75magy8nffy,Query,6,1
2,3,0.738,1,1,a,a9tn75magy8nffy,Query,7,1
4,7,1.979,1,1,a,a9tn75magy8nffy,Query,8,1
1,1,0.546,1,1,a,a9tn75magy8nffy,Query,9,1
3,5,1.969,1,1,a,a9tn75magy8nffy,Query,10,1
5,5,3.621,1,1,a,a9tn75magy8nffy,Query,11,1
3,5,1.731,1,1,a,a9tn75magy8nffy,Query,12,1
5,9,3.358,1,1,a,a9tn75magy8nffy,Query,13,1
6,9,4.506,1,1,a,a9tn75magy8nffy,Query,14,1
1,1,0.487,1,1,a,a9tn75magy8nffy,Query,15,1
2,3,0.809,1,1,a,a9tn75magy8nffy,Query,16,1
3,5,1.507,1,1,a,a9tn75magy8nffy,Query,17,1
5,8,3.542,1,1,a,a9tn75magy8nffy,Query,18,1
7,10,5.072,1,1,a,a9tn75magy8nffy,Query,19,1
1,1,0.564,1,1,a,a9tn75magy8nffy,Query,20,1
6,6,5.825,1,0,a,a9tn75magy8nffy,Query,21,1
1,1,0.616,1,1,a,a9tn75magy8nffy,Query,22,1
7,8,5.571,1,1,a,a9tn75magy8nffy,Query,23,1
2,3,0.707,1,1,a,a9tn75magy8nffy,Query,24,1
4,5,2.313,0,1,a,a9tn75magy8nffy,Query,25,1
4,7,2.327,1,1,a,a9tn75magy8nffy,Query,26,1
7,8,7.818,0,1,a,a9tn75magy8nffy,Query,27,1
5,8,2.674,1,1,a,a9tn75magy8nffy,Query,28,1
7,10,10.143,1,1,a,a9tn75magy8nffy,Query,29,1
6,9,4.984,1,1,a,a9tn75magy8nffy,Query,30,1
2,3,0.753,1,1,a,a9tn75magy8nffy,Query,31,1
6,5,4.705,0,1,a,a9tn75magy8nffy,Query,32,1
5,8,3.67,1,1,a,a9tn75magy8nffy,Query,33,1
4,4,3.423,0,1,a,a9tn75magy8nffy,Query,34,1
1,1,0.489,1,1,a,a9tn75magy8nffy,Query,35,1
2,3,1.301,1,1,fjc,a9tn75magy8nffy,Sequence,1,1
7,8,7.11,0,1,fjc,a9tn75magy8nffy,Sequence,2,1
3,3,2.343,1,1,fjc,a9tn75magy8nffy,Sequence,3,1
6,8,4.966,1,1,fjc,a9tn75magy8nffy,Sequence,4,1
5,6,4.306,1,1,fjc,a9tn75magy8nffy,Sequence,5,1
7,9,9.274,1,1,fjc,a9tn75magy8nffy,Sequence,6,1
3,3,1.573,1,1,fjc,a9tn75magy8nffy,Sequence,7,1
5,6,2.964,1,1,fjc,a9tn75magy8nffy,Sequence,8,1
1,1,0.513,1,1,fjc,a9tn75magy8nffy,Sequence,9,1
5,6,4.091,1,1,fjc,a9tn75magy8nffy,Sequence,10,1
1,1,0.564,1,1,fjc,a9tn75magy8nffy,Sequence,11,1
6,6,3.449,0,1,fjc,a9tn75magy8nffy,Sequence,12,1
6,8,5.842,1,1,fjc,a9tn75magy8nffy,Sequence,13,1
4,4,2.339,1,1,fjc,a9tn75magy8nffy,Sequence,14,1
1,1,0.675,1,1,fjc,a9tn75magy8nffy,Sequence,15,1
3,3,1.481,1,1,fjc,a9tn75magy8nffy,Sequence,16,1
1,1,0.604,1,1,fjc,a9tn75magy8nffy,Sequence,17,1
2,3,0.748,1,1,fjc,a9tn75magy8nffy,Sequence,18,1
7,7,10.963,0,1,fjc,a9tn75magy8nffy,Sequence,19,1
3,2,0.799,1,1,fjc,a9tn75magy8nffy,Sequence,20,1
2,2,0.616,0,1,fjc,a9tn75magy8nffy,Sequence,21,1
6,5,7.345,0,1,fjc,a9tn75magy8nffy,Sequence,22,1
3,2,1.806,1,1,fjc,a9tn75magy8nffy,Sequence,23,1
6,4,5.076,0,1,fjc,a9tn75magy8nffy,Sequence,24,1
1,1,0.519,1,1,fjc,a9tn75magy8nffy,Sequence,25,1
4,3,1.658,1,1,fjc,a9tn75magy8nffy,Sequence,26,1
5,5,3.217,1,1,fjc,a9tn75magy8nffy,Sequence,27,1
4,3,3.299,0,1,fjc,a9tn75magy8nffy,Sequence,28,1
7,6,8.371,0,1,fjc,a9tn75magy8nffy,Sequence,29,1
4,3,2.332,0,1,fjc,a9tn75magy8nffy,Sequence,30,1
2,2,0.818,0,1,fjc,a9tn75magy8nffy,Sequence,31,1
7,5,5.681,0,1,fjc,a9tn75magy8nffy,Sequence,32,1
4,3,1.775,1,1,fjc,a9tn75magy8nffy,Sequence,33,1
