NoB,time,realRT,accuracy,realAccuracy,threshold,connection,startAtSmall,participant,Structure,trial,trueConnection
4,7,3.823,1,1,5,a,0,jlbt4al7q4sv0kj,Query,22,0
1,1,2.831,1,1,5,a,0,jlbt4al7q4sv0kj,Query,23,0
5,9,4.504,1,1,5,a,0,jlbt4al7q4sv0kj,Query,24,0
4,7,7.175,1,1,4,a,0,jlbt4al7q4sv0kj,Query,25,0
5,8,4.623,1,1,4,a,0,jlbt4al7q4sv0kj,Query,26,0
3,5,6.2,1,1,4,a,0,jlbt4al7q4sv0kj,Query,27,0
6,9,10.311,1,1,4,a,0,jlbt4al7q4sv0kj,Query,28,0
6,9,3.346,1,1,4,a,0,jlbt4al7q4sv0kj,Query,29,0
7,10,3.823,1,1,4,a,0,jlbt4al7q4sv0kj,Query,30,0
1,1,2.653,1,1,4,a,0,jlbt4al7q4sv0kj,Query,31,0
5,8,5.985,1,1,4,a,0,jlbt4al7q4sv0kj,Query,32,0
1,1,1.654,1,1,4,a,0,jlbt4al7q4sv0kj,Query,33,0
2,3,2.829,1,1,4,a,0,jlbt4al7q4sv0kj,Query,34,0
4,7,5.704,1,1,4,a,0,jlbt4al7q4sv0kj,Query,35,0
1,1,0.939,1,1,7,a,1,lomhl7jw27e38km,Query,1,0
7,13,11.982,1,1,7,a,0,lomhl7jw27e38km,Query,2,0
7,13,10.59,1,1,7,a,0,lomhl7jw27e38km,Query,3,0
4,7,2.113,1,1,7,a,0,lomhl7jw27e38km,Query,4,0
2,3,1.331,1,1,6,a,0,lomhl7jw27e38km,Query,5,0
1,1,0.65,1,1,6,a,0,lomhl7jw27e38km,Query,6,0
1,1,0.481,1,1,6,a,0,lomhl7jw27e38km,Query,7,0
5,9,7.772,1,1,6,a,0,lomhl7jw27e38km,Query,8,0
6,11,6.301,1,1,6,a,0,lomhl7jw27e38km,Query,9,0
6,11,4.692,1,1,6,a,0,lomhl7jw27e38km,Query,10,0
6,11,7.083,1,1,6,a,0,lomhl7jw27e38km,Query,11,0
2,3,1.018,1,1,6,a,0,lomhl7jw27e38km,Query,12,0
4,7,1.957,1,1,6,a,0,lomhl7jw27e38km,Query,13,0
4,7,1.927,1,1,6,a,0,lomhl7jw27e38km,Query,14,0
2,3,0.922,1,1,5,a,0,lomhl7jw27e38km,Query,15,0
3,5,1.934,1,1,5,a,0,lomhl7jw27e38km,Query,16,0
2,3,1.036,1,1,5,a,0,lomhl7jw27e38km,Query,17,0
5,9,2.773,1,1,5,a,0,lomhl7jw27e38km,Query,18,0
3,5,1.98,1,1,5,a,0,lomhl7jw27e38km,Query,19,0
7,11,14.923,1,1,5,a,0,lomhl7jw27e38km,Query,20,0
3,5,1.595,1,1,5,a,0,lomhl7jw27e38km,Query,21,0
6,10,6.978,1,1,5,a,0,lomhl7jw27e38km,Query,22,0
7,11,12.205,1,1,5,a,0,lomhl7jw27e38km,Query,23,0
2,3,0.96,1,1,5,a,0,lomhl7jw27e38km,Query,24,0
5,9,2.275,1,1,4,a,0,lomhl7jw27e38km,Query,25,0
3,5,1.935,1,1,4,a,0,lomhl7jw27e38km,Query,26,0
6,9,7.979,1,1,4,a,0,lomhl7jw27e38km,Query,27,0
5,8,2.406,1,1,4,a,0,lomhl7jw27e38km,Query,28,0
1,1,0.941,1,1,4,a,0,lomhl7jw27e38km,Query,29,0
4,7,2.383,1,1,4,a,0,lomhl7jw27e38km,Query,30,0
1,1,0.723,1,1,4,a,0,lomhl7jw27e38km,Query,31,0
7,10,8.44,1,1,4,a,0,lomhl7jw27e38km,Query,32,0
4,7,2.104,1,1,4,a,0,lomhl7jw27e38km,Query,33,0
5,8,4.049,1,1,4,a,0,lomhl7jw27e38km,Query,34,0
3,5,1.597,1,1,4,a,0,lomhl7jw27e38km,Query,35,0
6,11,4.383,1,1,7,a,0,jtdzsxkh2scccvw,Query,1,0
5,9,7.68,1,1,7,a,0,jtdzsxkh2scccvw,Query,2,0
6,11,9.775,1,1,7,a,0,jtdzsxkh2scccvw,Query,3,0
5,9,3.423,1,1,6,a,0,jtdzsxkh2scccvw,Query,4,0
3,5,1.455,1,1,6,a,0,jtdzsxkh2scccvw,Query,5,0
1,1,0.671,1,1,6,a,0,jtdzsxkh2scccvw,Query,6,0
