NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
1,1,0.704,1,1,a,tf2ekjffoeoptr3,None,1
3,5,1.971,1,1,a,tf2ekjffoeoptr3,None,2
2,3,0.928,1,1,a,tf2ekjffoeoptr3,None,3
4,7,5.882,0.9333333333333333,1,a,tf2ekjffoeoptr3,None,4
7,13,7.93,0.3333333333333333,1,a,tf2ekjffoeoptr3,None,5
5,9,8.501,1,1,a,tf2ekjffoeoptr3,None,6
7,13,8.605,0.5333333333333333,1,a,tf2ekjffoeoptr3,None,7
5,9,9.064,1,1,a,tf2ekjffoeoptr3,None,8
1,1,0.779,1,1,a,tf2ekjffoeoptr3,None,9
1,1,0.817,1,1,a,tf2ekjffoeoptr3,None,10
4,7,7.954,1,1,a,tf2ekjffoeoptr3,None,11
5,6,7.706,1,1,a,tf2ekjffoeoptr3,None,12
6,7,6.66,0.2,1,a,tf2ekjffoeoptr3,None,13
4,5,15.665,0.4,1,a,tf2ekjffoeoptr3,None,14
1,1,0.964,1,1,a,tf2ekjffoeoptr3,None,15
3,5,2.198,1,1,a,tf2ekjffoeoptr3,None,16
6,8,6.5,0.7333333333333333,1,a,tf2ekjffoeoptr3,None,17
4,7,19.032,1,1,a,tf2ekjffoeoptr3,None,18
1,1,0.781,1,1,a,tf2ekjffoeoptr3,None,19
6,8,6.8,0.6,1,a,tf2ekjffoeoptr3,None,20
6,8,8.049,0.8,1,a,tf2ekjffoeoptr3,None,21
2,3,0.847,1,1,a,tf2ekjffoeoptr3,None,22
2,3,1.11,1,1,a,tf2ekjffoeoptr3,None,23
7,8,7.104,0.2,1,a,tf2ekjffoeoptr3,None,24
2,3,1.163,1,1,a,tf2ekjffoeoptr3,None,25
3,5,3.062,0.9333333333333333,1,a,tf2ekjffoeoptr3,None,26
2,3,1.208,1,1,a,tf2ekjffoeoptr3,None,27
6,8,6.3,0.7333333333333333,1,a,tf2ekjffoeoptr3,None,28
3,5,2.646,0.8,1,a,tf2ekjffoeoptr3,None,29
3,5,1.902,1,1,a,tf2ekjffoeoptr3,None,30
7,9,6.647,0.06666666666666667,1,a,tf2ekjffoeoptr3,None,31
5,7,6.809,0.9333333333333333,1,a,tf2ekjffoeoptr3,None,32
5,7,9.649,0.4666666666666667,1,a,tf2ekjffoeoptr3,None,33
4,7,7.609,0.9333333333333333,1,a,tf2ekjffoeoptr3,None,34
7,10,7.061,0.5333333333333333,1,a,tf2ekjffoeoptr3,None,35
6,9,5.268,0.8,1,a,4r8fa9xh0zzco6o,Query,1
7,10,9.448,0.6,1,a,4r8fa9xh0zzco6o,Query,2
2,3,1.06,0.4,1,a,4r8fa9xh0zzco6o,Query,3
3,5,1.217,1,1,a,4r8fa9xh0zzco6o,Query,4
1,1,0.578,1,1,a,4r8fa9xh0zzco6o,Query,5
7,9,5.118,0.8,1,a,4r8fa9xh0zzco6o,Query,6
4,5,2.08,1,1,a,4r8fa9xh0zzco6o,Query,7
5,6,3.325,1,1,a,4r8fa9xh0zzco6o,Query,8
2,3,0.848,1,1,a,4r8fa9xh0zzco6o,Query,9
1,1,0.597,1,1,a,4r8fa9xh0zzco6o,Query,10
1,1,0.678,1,1,a,4r8fa9xh0zzco6o,Query,11
3,5,1.355,1,1,a,4r8fa9xh0zzco6o,Query,12
6,8,6.058,1,1,a,4r8fa9xh0zzco6o,Query,13
7,7,7.47,1,1,a,4r8fa9xh0zzco6o,Query,14
4,5,2.571,1,1,a,4r8fa9xh0zzco6o,Query,15
5,5,4.278,1,1,a,4r8fa9xh0zzco6o,Query,16
4,5,2.506,1,1,a,4r8fa9xh0zzco6o,Query,17
4,5,2.158,1,1,a,4r8fa9xh0zzco6o,Query,18
3,4,1.549,1,1,a,4r8fa9xh0zzco6o,Query,19
2,2,0.696,1,1,a,4r8fa9xh0zzco6o,Query,20
1,1,0.594,1,1,a,4r8fa9xh0zzco6o,Query,21
2,2,0.872,1,1,a,4r8fa9xh0zzco6o,Query,22
5,5,4.747,1,1,a,4r8fa9xh0zzco6o,Query,23
3,3,3.116,1,1,a,4r8fa9xh0zzco6o,Query,24
2,2,1.052,1,1,a,4r8fa9xh0zzco6o,Query,25
1,1,4.7,1,1,a,4r8fa9xh0zzco6o,Query,26
5,6,3.391,1,1,a,4r8fa9xh0zzco6o,Query,27
7,7,1.947,0.6,1,a,4r8fa9xh0zzco6o,Query,28
5,6,1.01,1,1,a,4r8fa9xh0zzco6o,Query,29
6,7,1.603,1,1,a,4r8fa9xh0zzco6o,Query,30
6,7,1.976,1,1,a,4r8fa9xh0zzco6o,Query,31
6,7,1.318,1,1,a,4r8fa9xh0zzco6o,Query,32
7,7,1.588,1,1,a,4r8fa9xh0zzco6o,Query,33
3,4,0.482,1,1,a,4r8fa9xh0zzco6o,Query,34
4,5,0.547,1,1,a,4r8fa9xh0zzco6o,Query,35
6,9,5.599,1,1,bhd,4r8fa9xh0zzco6o,Sequence,1
6,8,5.754,0.4,1,bhd,4r8fa9xh0zzco6o,Sequence,2
6,8,6.473,1,1,bhd,4r8fa9xh0zzco6o,Sequence,3
7,9,9.45,0.6,1,bhd,4r8fa9xh0zzco6o,Sequence,4
3,5,1.593,1,1,bhd,4r8fa9xh0zzco6o,Sequence,5
4,6,2.233,1,1,bhd,4r8fa9xh0zzco6o,Sequence,6
7,8,8.419,0,1,bhd,4r8fa9xh0zzco6o,Sequence,7
5,8,4.405,0.6,1,bhd,4r8fa9xh0zzco6o,Sequence,8
3,5,2.436,0.8,1,bhd,4r8fa9xh0zzco6o,Sequence,9
4,7,2.737,1,1,bhd,4r8fa9xh0zzco6o,Sequence,10
3,5,4.515,1,1,bhd,4r8fa9xh0zzco6o,Sequence,11
3,5,1.505,1,1,bhd,4r8fa9xh0zzco6o,Sequence,12
1,1,0.749,1,1,bhd,4r8fa9xh0zzco6o,Sequence,13
5,9,3.153,1,1,bhd,4r8fa9xh0zzco6o,Sequence,14
1,1,0.875,1,1,bhd,4r8fa9xh0zzco6o,Sequence,15
6,11,4.118,1,1,bhd,4r8fa9xh0zzco6o,Sequence,16
3,5,1.618,1,1,bhd,4r8fa9xh0zzco6o,Sequence,17
1,1,0.753,1,1,bhd,4r8fa9xh0zzco6o,Sequence,18
2,3,1.1,1,1,bhd,4r8fa9xh0zzco6o,Sequence,19
4,7,1.516,1,1,bhd,4r8fa9xh0zzco6o,Sequence,20
5,9,3.929,1,1,bhd,4r8fa9xh0zzco6o,Sequence,21
7,12,5.421,1,1,bhd,4r8fa9xh0zzco6o,Sequence,22
5,9,3.049,1,1,bhd,4r8fa9xh0zzco6o,Sequence,23
