NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
7,13,9.448,0.8,1,a,4r8fa9xh0zzco6o,Query,2
2,3,1.06,0.95,1,a,4r8fa9xh0zzco6o,Query,3
3,5,1.217,0.4,1,a,4r8fa9xh0zzco6o,Query,4
1,1,0.578,1,1,a,4r8fa9xh0zzco6o,Query,5
7,9,5.118,0.95,1,a,4r8fa9xh0zzco6o,Query,6
4,5,2.08,1,1,a,4r8fa9xh0zzco6o,Query,7
5,6,3.325,0.95,1,a,4r8fa9xh0zzco6o,Query,8
2,3,0.848,0.95,1,a,4r8fa9xh0zzco6o,Query,9
1,1,0.597,1,1,a,4r8fa9xh0zzco6o,Query,10
1,1,0.678,1,1,a,4r8fa9xh0zzco6o,Query,11
3,4,1.355,1,1,a,4r8fa9xh0zzco6o,Query,12
6,6,6.058,0.2,1,a,4r8fa9xh0zzco6o,Query,13
7,7,7.47,1,1,a,4r8fa9xh0zzco6o,Query,14
4,5,2.571,1,1,a,4r8fa9xh0zzco6o,Query,15
5,6,4.278,0.95,1,a,4r8fa9xh0zzco6o,Query,16
4,5,2.506,1,1,a,4r8fa9xh0zzco6o,Query,17
4,5,2.158,1,1,a,4r8fa9xh0zzco6o,Query,18
3,4,1.549,1,1,a,4r8fa9xh0zzco6o,Query,19
2,3,0.696,1,1,a,4r8fa9xh0zzco6o,Query,20
1,1,0.594,1,1,a,4r8fa9xh0zzco6o,Query,21
2,3,0.872,1,1,a,4r8fa9xh0zzco6o,Query,22
5,6,4.747,1,1,a,4r8fa9xh0zzco6o,Query,23
3,4,3.116,0.9,1,a,4r8fa9xh0zzco6o,Query,24
2,3,1.052,1,1,a,4r8fa9xh0zzco6o,Query,25
1,1,4.7,1,1,a,4r8fa9xh0zzco6o,Query,26
5,6,3.391,0.75,1,a,4r8fa9xh0zzco6o,Query,27
7,8,1.947,1,1,a,4r8fa9xh0zzco6o,Query,28
5,6,1.01,1,1,a,4r8fa9xh0zzco6o,Query,29
6,7,1.603,1,1,a,4r8fa9xh0zzco6o,Query,30
6,7,1.976,0.9,1,a,4r8fa9xh0zzco6o,Query,31
6,7,1.318,0.95,1,a,4r8fa9xh0zzco6o,Query,32
7,7,1.588,0.85,1,a,4r8fa9xh0zzco6o,Query,33
3,4,0.482,1,1,a,4r8fa9xh0zzco6o,Query,34
4,5,0.547,1,1,a,4r8fa9xh0zzco6o,Query,35
6,11,5.599,0.75,1,bhd,4r8fa9xh0zzco6o,Sequence,1
6,11,5.754,0.4,1,bhd,4r8fa9xh0zzco6o,Sequence,2
6,11,6.473,0.95,1,bhd,4r8fa9xh0zzco6o,Sequence,3
7,12,9.45,0.15,1,bhd,4r8fa9xh0zzco6o,Sequence,4
3,5,1.593,0.6,1,bhd,4r8fa9xh0zzco6o,Sequence,5
4,7,2.233,1,1,bhd,4r8fa9xh0zzco6o,Sequence,6
7,10,8.419,0.4,1,bhd,4r8fa9xh0zzco6o,Sequence,7
5,8,4.405,0.55,1,bhd,4r8fa9xh0zzco6o,Sequence,8
3,5,2.436,0.8,1,bhd,4r8fa9xh0zzco6o,Sequence,9
4,7,2.737,0.9,1,bhd,4r8fa9xh0zzco6o,Sequence,10
3,4,4.515,0.8,1,bhd,4r8fa9xh0zzco6o,Sequence,11
3,4,1.505,0.95,1,bhd,4r8fa9xh0zzco6o,Sequence,12
1,1,0.749,1,1,bhd,4r8fa9xh0zzco6o,Sequence,13
5,6,3.153,0.85,1,bhd,4r8fa9xh0zzco6o,Sequence,14
1,1,0.875,1,1,bhd,4r8fa9xh0zzco6o,Sequence,15
6,7,4.118,1,1,bhd,4r8fa9xh0zzco6o,Sequence,16
3,3,1.618,0.5,1,bhd,4r8fa9xh0zzco6o,Sequence,17
1,1,0.753,1,1,bhd,4r8fa9xh0zzco6o,Sequence,18
2,2,1.1,0.9,1,bhd,4r8fa9xh0zzco6o,Sequence,19
4,4,1.516,0.75,1,bhd,4r8fa9xh0zzco6o,Sequence,20
5,4,3.929,0.6,1,bhd,4r8fa9xh0zzco6o,Sequence,21
7,7,5.421,1,1,bhd,4r8fa9xh0zzco6o,Sequence,22
5,5,3.049,0.75,1,bhd,4r8fa9xh0zzco6o,Sequence,23
6,7,5.072,0.85,1,bhd,4r8fa9xh0zzco6o,Sequence,24
7,7,5.967,0,1,bhd,4r8fa9xh0zzco6o,Sequence,25
1,1,0.98,1,1,bhd,4r8fa9xh0zzco6o,Sequence,26
4,7,2.665,0.85,1,bhd,4r8fa9xh0zzco6o,Sequence,27
1,1,0.931,1,1,bhd,4r8fa9xh0zzco6o,Sequence,28
2,3,1.337,0.95,1,bhd,4r8fa9xh0zzco6o,Sequence,29
2,3,1.297,1,1,bhd,4r8fa9xh0zzco6o,Sequence,30
