subject,nStartParticles,Nr_of_mutations,LL
xyvdwfe8z64oyoz,1,5,176.55526222330317
xyvdwfe8z64oyoz,1,10,180.4056141867747
xyvdwfe8z64oyoz,1,100,176.72903814991272
xyvdwfe8z64oyoz,1,1000,174.87032799074137
xyvdwfe8z64oyoz,1,10000,175.8654686214022
z2x1ybgywapr8x0,1,1,189.76315443240844
z2x1ybgywapr8x0,1,5,196.6691835635284
z2x1ybgywapr8x0,1,10,191.99780028876935
z2x1ybgywapr8x0,1,100,195.12840289362094
z2x1ybgywapr8x0,1,1000,194.97476471057846
z2x1ybgywapr8x0,1,10000,194.30701927063222
zpdbjkc3r3564ye,1,1,186.76299707231593
zpdbjkc3r3564ye,1,5,190.29304638486786
zpdbjkc3r3564ye,1,10,197.8142427200745
zpdbjkc3r3564ye,1,100,196.7784298470938
zpdbjkc3r3564ye,1,1000,194.01069514961668
zpdbjkc3r3564ye,1,10000,196.37224594987293
3j2uzccgoqa3u2m,1,1,169.00008020344472
3j2uzccgoqa3u2m,1,5,174.17521509841916
3j2uzccgoqa3u2m,1,10,175.36562083203063
3j2uzccgoqa3u2m,1,100,173.42357998731762
3j2uzccgoqa3u2m,1,1000,175.7274758457725
3j2uzccgoqa3u2m,1,10000,173.12854633526237
vum2fldfgzx1jw1,1,1,169.57121718668589
vum2fldfgzx1jw1,1,5,170.3654995948931
vum2fldfgzx1jw1,1,10,167.79577601459036
vum2fldfgzx1jw1,1,100,168.61168527073318
vum2fldfgzx1jw1,1,1000,169.4385131679256
vum2fldfgzx1jw1,1,10000,166.7771494997603
