NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
4,5,1.848,0.7931034482758621,1,a,jlbt4al7q4sv0kj,Query,25
5,6,-3.281,0.8695652173913043,1,a,jlbt4al7q4sv0kj,Query,26
3,4,2.755,1,1,a,jlbt4al7q4sv0kj,Query,27
6,6,4.787,0.5789473684210527,1,a,jlbt4al7q4sv0kj,Query,28
6,6,-1.101,1,1,a,jlbt4al7q4sv0kj,Query,29
7,7,-2.118,1,1,a,jlbt4al7q4sv0kj,Query,30
1,1,1.149,1,1,a,jlbt4al7q4sv0kj,Query,31
5,5,2.186,0.75,1,a,jlbt4al7q4sv0kj,Query,32
1,1,-0.192,1,1,a,jlbt4al7q4sv0kj,Query,33
2,2,1.431,1,1,a,jlbt4al7q4sv0kj,Query,34
4,4,0.89,1,1,a,jlbt4al7q4sv0kj,Query,35
1,1,0.06,1,1,a,lomhl7jw27e38km,Query,1
7,13,5.121,0.34165232358003444,1,a,lomhl7jw27e38km,Query,2
7,13,4.265,0.7115869017632241,1,a,lomhl7jw27e38km,Query,3
4,7,-0.236,0.9292035398230089,1,a,lomhl7jw27e38km,Query,4
2,3,0.564,1,1,a,lomhl7jw27e38km,Query,5
1,1,0.039,1,1,a,lomhl7jw27e38km,Query,6
1,1,-0.284,1,1,a,lomhl7jw27e38km,Query,7
5,9,5.135,0.5435897435897435,1,a,lomhl7jw27e38km,Query,8
6,11,-0.045,0.8018867924528302,1,a,lomhl7jw27e38km,Query,9
6,11,-0.319,0.9529411764705882,1,a,lomhl7jw27e38km,Query,10
6,10,-3.905,0.8024691358024691,1,a,lomhl7jw27e38km,Query,11
2,3,0.348,0.9769230769230769,1,a,lomhl7jw27e38km,Query,12
4,7,0.105,0.968503937007874,1,a,lomhl7jw27e38km,Query,13
4,7,-0.569,1,1,a,lomhl7jw27e38km,Query,14
2,3,0.283,0.9491525423728814,1,a,lomhl7jw27e38km,Query,15
3,5,0.513,1,1,a,lomhl7jw27e38km,Query,16
2,3,-0.575,1,1,a,lomhl7jw27e38km,Query,17
5,8,0.159,0.5607476635514018,1,a,lomhl7jw27e38km,Query,18
3,5,0.502,0.5833333333333334,1,a,lomhl7jw27e38km,Query,19
7,9,8.301,0.6857142857142857,1,a,lomhl7jw27e38km,Query,20
3,5,-0.006,0.875,1,a,lomhl7jw27e38km,Query,21
6,8,2.269,1,1,a,lomhl7jw27e38km,Query,22
7,9,6.683,0.85,1,a,lomhl7jw27e38km,Query,23
2,3,-0.018,1,1,a,lomhl7jw27e38km,Query,24
5,6,-0.859,1,1,a,lomhl7jw27e38km,Query,25
3,4,0.203,1,1,a,lomhl7jw27e38km,Query,26
6,7,3.225,0.8571428571428571,1,a,lomhl7jw27e38km,Query,27
5,5,-0.213,0.75,1,a,lomhl7jw27e38km,Query,28
1,1,0.165,1,1,a,lomhl7jw27e38km,Query,29
4,4,-0.003,0.625,1,a,lomhl7jw27e38km,Query,30
1,1,-0.357,1,1,a,lomhl7jw27e38km,Query,31
7,7,0.05,0.5,1,a,lomhl7jw27e38km,Query,32
4,4,0.166,0.5,1,a,lomhl7jw27e38km,Query,33
5,4,0.426,1,1,a,lomhl7jw27e38km,Query,34
3,3,-0.579,1,1,a,lomhl7jw27e38km,Query,35
6,11,1.884,0.48838209982788294,1,a,jtdzsxkh2scccvw,Query,1
5,9,4.728,0.7797356828193832,1,a,jtdzsxkh2scccvw,Query,2
6,11,4.763,0.6384180790960452,1,a,jtdzsxkh2scccvw,Query,3
5,9,-0.74,0.8849557522123894,1,a,jtdzsxkh2scccvw,Query,4
3,5,0.598,0.998,1,a,jtdzsxkh2scccvw,Query,5
1,1,0.165,1,1,a,jtdzsxkh2scccvw,Query,6
6,11,1.737,0.6246648793565683,1,a,jtdzsxkh2scccvw,Query,7
5,9,0.11,0.7982832618025751,1,a,jtdzsxkh2scccvw,Query,8
6,10,-0.124,0.8763440860215054,1,a,jtdzsxkh2scccvw,Query,9
3,5,0.427,0.9938650306748467,1,a,jtdzsxkh2scccvw,Query,10
1,1,-0.003,1,1,a,jtdzsxkh2scccvw,Query,11
7,10,11.023,0.6242038216560509,1,a,jtdzsxkh2scccvw,Query,12
4,7,2.696,0.7959183673469388,1,a,jtdzsxkh2scccvw,Query,13
2,3,-0.049,0.9230769230769231,1,a,jtdzsxkh2scccvw,Query,14
2,3,-0.343,0.9444444444444444,1,a,jtdzsxkh2scccvw,Query,15
5,7,1.63,0.9411764705882353,1,a,jtdzsxkh2scccvw,Query,16
4,6,1.265,0.9375,1,a,jtdzsxkh2scccvw,Query,17
1,1,0.148,1,1,a,jtdzsxkh2scccvw,Query,18
4,5,-0.005,0.5084745762711864,1,a,jtdzsxkh2scccvw,Query,19
3,4,-0.046,0.9666666666666667,1,a,jtdzsxkh2scccvw,Query,20
4,5,1.259,0.9310344827586207,1,a,jtdzsxkh2scccvw,Query,21
1,1,-0.666,1,1,a,jtdzsxkh2scccvw,Query,22
7,8,6.608,0.7307692307692307,1,a,jtdzsxkh2scccvw,Query,23
3,4,0.542,1,1,a,jtdzsxkh2scccvw,Query,24
1,1,0.096,1,1,a,jtdzsxkh2scccvw,Query,25
2,3,-0.377,0.8235294117647058,1,a,jtdzsxkh2scccvw,Query,26
5,5,1.442,0.8571428571428571,1,a,jtdzsxkh2scccvw,Query,27
6,6,3.341,1,1,a,jtdzsxkh2scccvw,Query,28
4,4,0.204,0.7272727272727273,1,a,jtdzsxkh2scccvw,Query,29
2,2,0.035,1,1,a,jtdzsxkh2scccvw,Query,30
7,7,7.823,1,0,a,jtdzsxkh2scccvw,Query,31
3,3,0.544,1,1,a,jtdzsxkh2scccvw,Query,32
2,2,0.136,1,1,a,jtdzsxkh2scccvw,Query,33
7,7,3.249,0.5,1,a,jtdzsxkh2scccvw,Query,34
7,6,2.016,0.5,1,a,jtdzsxkh2scccvw,Query,35
4,7,-0.414,0.596815834767642,1,a,q3rm4bg3z295hv5,Query,1
1,1,-0.258,1,1,a,q3rm4bg3z295hv5,Query,2
3,5,-0.343,0.8242343541944075,1,a,q3rm4bg3z295hv5,Query,3
5,8,2.691,0.5218093699515347,1,a,q3rm4bg3z295hv5,Query,4
5,8,1.213,0.8606811145510835,1,a,q3rm4bg3z295hv5,Query,5
2,3,-0.119,0.9568345323741008,1,a,q3rm4bg3z295hv5,Query,6
1,1,-0.03,1,1,a,q3rm4bg3z295hv5,Query,7
3,5,-0.627,0.6615384615384615,1,a,q3rm4bg3z295hv5,Query,8
3,5,-0.443,0.9011627906976745,1,a,q3rm4bg3z295hv5,Query,9
7,13,6.171,0.8387096774193549,1,a,q3rm4bg3z295hv5,Query,10
4,6,1.164,0.9538461538461539,1,a,q3rm4bg3z295hv5,Query,11
5,9,1.43,0.8951612903225806,1,a,q3rm4bg3z295hv5,Query,12
6,8,9.176,0.7747747747747747,1,a,q3rm4bg3z295hv5,Query,13
7,9,4.928,0.7790697674418605,1,a,q3rm4bg3z295hv5,Query,14
5,7,-0.271,0.7164179104477612,1,a,q3rm4bg3z295hv5,Query,15
3,5,0.091,1,1,a,q3rm4bg3z295hv5,Query,16
2,3,0.431,0.8936170212765957,1,a,q3rm4bg3z295hv5,Query,17
