subject,nStartParticles,particles_to_mutate,LL
us6grs84gamvlyg,15,2,111.12243226347262
us6grs84gamvlyg,15,3,110.80481086495423
us6grs84gamvlyg,15,4,111.6662313955354
us6grs84gamvlyg,15,5,111.22854123320992
us6grs84gamvlyg,15,10,111.30615650253064
us6grs84gamvlyg,20,1,110.55813047412231
us6grs84gamvlyg,20,2,110.93080252174268
us6grs84gamvlyg,20,3,110.66676194614436
us6grs84gamvlyg,20,4,112.32753117611253
us6grs84gamvlyg,20,5,110.94856258253755
us6grs84gamvlyg,20,10,111.12342330422935
us6grs84gamvlyg,100,5,110.9868565735697
us6grs84gamvlyg,100,10,111.91187499806117
us6grs84gamvlyg,100,50,110.83549329849993
us6grs84gamvlyg,1000,50,112.28445202053362
us6grs84gamvlyg,1000,500,111.60574596667246
us6grs84gamvlyg,1000,750,111.95330023413332
us6grs84gamvlyg,10000,500,112.29186365639531
us6grs84gamvlyg,10000,750,112.42931938837859
us6grs84gamvlyg,10000,1000,112.31395307456877
us6grs84gamvlyg,10000,5000,110.10704696978452
us6grs84gamvlyg,10000,7500,110.23683237595635
fb8xdh3czx77hyn,5,1,161.2065479516832
fb8xdh3czx77hyn,5,2,156.99397117714537
fb8xdh3czx77hyn,5,3,160.82567816406538
fb8xdh3czx77hyn,5,4,162.95928548013606
fb8xdh3czx77hyn,10,1,154.21155079559298
fb8xdh3czx77hyn,10,2,155.52653751195797
fb8xdh3czx77hyn,10,3,156.43553964807583
fb8xdh3czx77hyn,10,4,157.98594824109745
fb8xdh3czx77hyn,10,5,159.81340970995856
fb8xdh3czx77hyn,15,1,156.90114305694505
fb8xdh3czx77hyn,15,2,159.5270607296896
fb8xdh3czx77hyn,15,3,160.002980047849
fb8xdh3czx77hyn,15,4,161.0784956624262
fb8xdh3czx77hyn,15,5,159.2468006515114
fb8xdh3czx77hyn,15,10,162.0392433226971
fb8xdh3czx77hyn,20,1,155.13439510426292
fb8xdh3czx77hyn,20,2,159.9099406590475
fb8xdh3czx77hyn,20,3,158.78668362772422
fb8xdh3czx77hyn,20,4,161.48258805068724
fb8xdh3czx77hyn,20,5,158.29652321052697
fb8xdh3czx77hyn,20,10,158.70134296254594
fb8xdh3czx77hyn,100,5,153.922302438733
fb8xdh3czx77hyn,100,10,157.66043679345105
fb8xdh3czx77hyn,100,50,159.03087427199995
fb8xdh3czx77hyn,1000,50,154.53849888277574
fb8xdh3czx77hyn,1000,500,157.9981023940753
fb8xdh3czx77hyn,1000,750,159.40675937936163
fb8xdh3czx77hyn,10000,500,154.08945845900914
fb8xdh3czx77hyn,10000,750,155.1744930085244
fb8xdh3czx77hyn,10000,1000,155.23683402690486
fb8xdh3czx77hyn,10000,5000,159.10251823350242
fb8xdh3czx77hyn,10000,7500,159.6986853602054
rahonpod5yv68g4,5,1,126.56206094027803
rahonpod5yv68g4,5,2,127.7371752020092
rahonpod5yv68g4,5,3,127.15142550609698
rahonpod5yv68g4,5,4,125.55930632360858
rahonpod5yv68g4,10,1,126.93566916586335
rahonpod5yv68g4,10,2,126.7159292202435
rahonpod5yv68g4,10,3,126.65957229574376
